input,output
In which chapter of the Moroccan Customs Tariff is the HS code 2903791021 (dichlorofluoropropane) located?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 2903791021 represent in the Moroccan Customs Tariff classification?,Halogenated derivatives of hydrocarbons/Chlorinated saturated acyclic hydrocarbon derivatives
"What is the first level of classification for dichlorofluoropropane (C3H5FCl2, also known as HCFC-261) in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for trichlorofluoropropane (C3H4FCl3, also known as HCFC-251) in the Moroccan customs tariff?",HS:2903791022
"Which chapter does the HS code HS:2903791022 for trichlorofluoropropane (C3H4FCl3, also known as HCFC-251) belong to in the Moroccan customs tariff?",Chapter 29: Organic Chemicals
"What type of chemicals does the HS code HS:2903791022 for trichlorofluoropropane (C3H4FCl3, also known as HCFC-251) represent in the Moroccan customs tariff?","Halogenated hydrocarbon derivatives, specifically saturated chlorinated acyclic hydrocarbon derivatives"
"What is the first level of classification for trichlorofluoropropane (C3H4FCl3, also known as HCFC-251) with the HS code HS:2903791022 in the Moroccan customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for tetrachlorofluoropropane (C3H3FCl4, also known as HCFC-241)?",2903791023
In which chapter of the Moroccan Customs Tariff is the HS code 2903791023 (tetrachlorofluoropropane) located?,Chapter 29: Organic Chemicals
"Is tetrachlorofluoropropane (C3H3FCl4, also known as HCFC-241) classified under Halogenated Derivatives of Hydrocarbons/Chlorinated Saturated Derivatives of Acyclic Hydrocarbons?","Yes, tetrachlorofluoropropane can be classified under Halogenated Derivatives of Hydrocarbons/Chlorinated Saturated Derivatives of Acyclic Hydrocarbons"
Which subcategory does the HS code 2903791023 (tetrachlorofluoropropane) fall under in the Halogenated Derivatives of Hydrocarbons/Chlorinated Saturated Derivatives of Acyclic Hydrocarbons?,Tetrachlorofluoropropane falls under the subcategory Chlorinated Saturated Derivatives of Acyclic Hydrocarbons - Heading 2903
Does the HS code HS:2903791024 fall under the category of 'Halogenated derivatives of hydrocarbons' in Moroccan Customs' chapter 29?,Yes
"Is pentachlorofluoropropane (C3H2FCL5, also known as HCFC-231) classified under 'Saturated chlorinated derivatives of acyclic hydrocarbons' in Moroccan Customs' chapter 29 with the HS code HS:2903791024?",Yes
What is the full description of the category for the HS code HS:2903791024 in Moroccan Customs' chapter 29?,"Halogenated derivatives of hydrocarbons, monohalogenated, of fluorinated hydrocarbons - Fluorochlorinated hydrocarbons, containing only one atom of chlorine, of carbonic acid, whether or not containing other halogen atoms - Halogenated, of ethenes and ethenyls - HCFC-231 (C3H2FCL5)"
Which subcategory does the HS code HS:2903791024 belong to in Moroccan Customs' chapter 29 under 'Halogenated derivatives of hydrocarbons'?,"'Fluorochlorinated hydrocarbons, containing only one atom of chlorine, of carbonic acid, whether or not containing other halogen atoms - Halogenated, of ethenes and ethenyls'"
"What is the specific HS code for hexachlorofluoropropane (C3HFCL6, also known as HCFC-221)?",HS:2903791025
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903791025 (hexachlorofluoropropane) located?,Chapter 29: Organic Chemicals
Which category does the HS code HS:2903791025 (hexachlorofluoropropane) belong to in the Moroccan Customs Tariff?,Halogenated derivatives of hydrocarbons/Chlorinated saturated acyclic hydrocarbon derivatives
"What is the first level of classification for hexachlorofluoropropane (C3HFCL6, also known as HCFC-221) in the Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for chlorodifluoropropane (C3H5F2Cl, HCFC-262)?",2903791026
Which chapter in the Moroccan Customs Tariff does the HS code 2903791026 belong to?,Chapter 29: Organic Chemicals
What type of chemical is represented by the HS code 2903791026 in Moroccan Customs Tariff classification?,Halogenated derivatives of hydrocarbons or Saturated halogenated derivatives of acyclic hydrocarbons
"What is the first level of classification for chlorodifluoropropane (C3H5F2Cl, HCFC-262) in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for dichlorodifluoropropane (C3H4F2CL2, HCFC-252)?",2903791027
In which chapter of Morocco's customs tariff is the HS code 2903791027 classified?,Chapter 29: Organic Chemicals
What type of halogenated hydrocarbon derivative is represented by the HS code 2903791027 in customs tariff classification?,"Saturated chlorinated acyclic hydrocarbons - specifically, dichlorodifluoropropane (C3H4F2CL2, HCFC-252)"
"What is the first level of classification for dichlorodifluoropropane (C3H4F2CL2, HCFC-252) in Morocco's customs tariff?",29 - Chapter 29: Organic Chemicals
"Is trichlorodifluoropropane (C3H3F2CL3, also known as HCFC-242) classified under 'Halogenated derivatives of hydrocarbons' in the Moroccan Customs?",Yes
"Is trichlorodifluoropropane (C3H3F2CL3, also known as HCFC-242) classified under 'Saturated chlorinated acyclic hydrocarbon derivatives' in the Moroccan Customs?",Yes
"What is the HS code for trichlorodifluoropropane (C3H3F2CL3, also known as HCFC-242) in the Moroccan Customs?",HS:2903791028
"In which chapter of the Moroccan Customs does trichlorodifluoropropane (C3H3F2CL3, also known as HCFC-242) fall under?",Chapter 29: Organic Chemicals
What specific chemical compound does the HS code HS:2903791029 represent?,"Tetrachlorodifluoropropane (C3H2F2Cl4, also known as HCFC-232)"
In which chapter of Morocco's Customs Tariff is the HS code HS:2903791029 found?,Chapter 29: Organic Chemicals
Is the chemical compound represented by the HS code HS:2903791029 included in the category of Halogenated Derivatives of Hydrocarbons or Saturated Chlorinated Derivatives of Acyclic Hydrocarbons?,"Yes, it may be included in either category"
What is the first level of classification for the chemical compound represented by the HS code HS:2903791029 in Morocco's Customs Tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for pentachlorodifluoropropane (C3HF2Cl5, HCFC222) in Moroccan Customs Tariff?",2903791031
Which chapter in the Moroccan Customs Tariff does the HS code 2903791031 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903791031 in Moroccan Customs Tariff?,"Halogenated hydrocarbons or specifically, saturated chlorinated acyclic hydrocarbons"
"What is the first level of classification for pentachlorodifluoropropane (C3HF2Cl5, HCFC222) in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for chlorotrifluoropropane (C3H4F3CL, also known as HCFC-253) in the Moroccan Customs Tariff?",2903791032
In which chapter of the Moroccan Customs Tariff is the HS code 2903791032 (chlorotrifluoropropane) located?,Chapter 29: Organic Chemicals
What is the category of HS code 2903791032 (chlorotrifluoropropane) in Moroccan Customs Tariff?,Halogenated derivatives of hydrocarbons/Chlorinated saturated acyclic hydrocarbon derivatives
"What is the first level of classification for chlorotrifluoropropane (C3H4F3CL, also known as HCFC-253) in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
Does the HS code HS:2903791033 correspond to a halogenated hydrocarbon?,Yes
Is the HS code HS:2903791033 classified under saturated chlorinated hydrocarbons of acyclic compounds?,Yes
In which chapter of the Moroccan Customs tariff is the HS code HS:2903791033 located?,Chapter 29: Organic Chemicals
What is the type of compound represented by the HS code HS:2903791033 in the customs tariff classification?,"Dichlorotrifluoropropane (C3H3F3CL2, also known as HCFC-243)"
"What is the specific HS code for trichlorotrifluoropropane (C3H2F3Cl3, also known as HCFC233) in Moroccan Customs Tariff?",HS:2903791034
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903791034 classified?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2903791034 represent in Moroccan Customs Tariff?,Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons
"What is the first level of classification for trichlorotrifluoropropane (C3H2F3Cl3, also known as HCFC233) in Moroccan Customs Tariff?",29 - Chapter 29: Organic Chemicals
Does the HS code HS:2903791035 refer to a Halogenated Derivative of Hydrocarbons?,Yes
Is the HS code HS:2903791035 classified under Chapter 29 of Morocco's customs tariff?,Yes
What type of chemical does the HS code HS:2903791035 represent in Morocco's customs tariff classification?,"Tetrachlorotrifluoropropane (C3HF3Cl4, also known as HCFC-223)"
What is the first level of classification for tetrachlorotrifluoropropane in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for chlorotetrafluoropropane (C3H3F4Cl, also known as HCFC-244) in Morocco's customs?",2903791036
In which chapter of Morocco's customs tariff classification is the HS code 2903791036 (chlorotetrafluoropropane) found?,Chapter 29: Organic Chemicals
Which type of chemicals does the HS code 2903791036 represent in Morocco's customs tariff classification?,Halogenated hydrocarbons or Saturated chlorinated hydrocarbons of acyclic
"What is the first level of classification for chlorotetrafluoropropane (C3H3F4Cl, also known as HCFC-244) in Morocco's customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for dichlorotetrafluoropropane (C3H2F4CL2, also known as HCFC-234)?",HS:2903791037
In which chapter of the Moroccan Customs is the HS code HS:2903791037 classified?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code HS:2903791037 represent in the Moroccan Customs tariff classification?,Derivatives of halogenated hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons
"What is the first level of classification for dichlorotetrafluoropropane (C3H2F4CL2, also known as HCFC-234) in the Moroccan Customs tariff?",29 - Chapter 29: Organic Chemicals
What is the specific HS code for trichlorotetrafluoropropane (C3HF4Cl3) in Moroccan Customs Tariff?,HS:2903791038
In which chapter of the Moroccan Customs Tariff is the HS code HS:2903791038 (trichlorotetrafluoropropane) located?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2903791038 represent in Moroccan Customs Tariff?,Halogenated derivatives of hydrocarbons/Chlorinated saturated acyclic hydrocarbon derivatives
What is the first level of classification for trichlorotetrafluoropropane (HS:2903791038) in Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for chloropentafluoropropane (C3H2F5Cl, also known as HCFC-235)?",2903791039
In which chapter of the Moroccan customs tariff is the HS code 2903791039 listed?,Chapter 29: Organic Chemicals
What type of organic chemical does the HS code 2903791039 represent in customs tariff classification?,Halogenated derivatives of hydrocarbons/Chlorinated saturated acyclic hydrocarbon derivatives
"What is the first level of classification for chloropentafluoropropane (C3H2F5Cl, also known as HCFC-235) in customs tariff?",29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 1,1-dichloro-2,2,3,3,3-pentafluoropropane (CF3CF2CHCl2, HCFC-225ca)?",2903791042
Which chapter in the Moroccan customs tariff classification does the HS code 2903791042 belong to?,Chapter 29: Organic chemicals
What type of organic chemicals does the HS code 2903791042 represent in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
"What is the first level of classification for 1,1-dichloro-2,2,3,3,3-pentafluoropropane (CF3CF2CHCl2, HCFC-225ca) in Moroccan customs tariff?",29 - Chapter 29: Organic chemicals
"What is the HS code for the chemical compound 1,3-dichloro-1,2,2,3,3-pentafluoropropane in Moroccan customs tariff?",HS:2903791043
In which chapter of the Moroccan customs tariff is the HS code HS:2903791043 classified?,Chapter 29: Organic Chemicals
Is the chemical compound represented by the HS code HS:2903791043 classified as halogenated hydrocarbons in Moroccan customs tariff?,"Yes, it can be classified as halogenated hydrocarbons, specifically chlorinated saturated acyclic hydrocarbons"
What is the subcategory of organic chemicals that the HS code HS:2903791043 falls under in Moroccan customs tariff?,Halogenated hydrocarbons - Heading 2903
Does the HS code HS:2903791049 pertain to halogenated derivatives of hydrocarbons?,Yes
Which chapter in the customs tariff of Morocco does the HS code HS:2903791049 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2903791049 in customs tariff classification?,"Halogenated derivatives of hydrocarbons, specifically saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for halogenated derivatives of hydrocarbons under the HS code HS:2903791049 in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for bromofluoromethane?,HS:2903792001
In which chapter of the Moroccan customs tariff is bromofluoromethane (HS:2903792001) classified?,Chapter 29: Organic chemicals
Is bromofluoromethane included in Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons?,Bromofluoromethane is included in Halogenated derivatives of hydrocarbons
What type of halogenated derivative does the HS code 2903792001 represent?,Bromofluoromethane is a specific halogenated derivative
What is the specific HS code for dibromofluoromethane in the Moroccan customs tariff?,HS:2903792002
In which chapter of the Moroccan customs tariff is dibromofluoromethane (HS:2903792002) classified?,Chapter 29: Organic Chemicals
Is dibromofluoromethane (HS:2903792002) included in halogenated hydrocarbons according to the Moroccan customs tariff?,Yes
"Based on the Moroccan customs tariff, is dibromofluoromethane (HS:2903792002) considered a chlorinated saturated acyclic hydrocarbon?",No
What is the specific HS code for bromodifluoromethane?,HS:2903792003
In which chapter of the Moroccan customs tariff is bromodifluoromethane classified?,Chapter 29: Organic Chemicals
Is bromodifluoromethane considered a halogenated hydrocarbon?,"Yes, bromodifluoromethane is a halogenated hydrocarbon"
What type of halogenated hydrocarbons does bromodifluoromethane fall under in the customs tariff classification?,Bromodifluoromethane falls under the category of saturated chlorinated acyclic hydrocarbon derivatives in the halogenated hydrocarbons group
What is the specific HS code for bromofluoroethane in Moroccan customs tariff?,HS:2903792004
Which chapter in the Moroccan customs tariff does the HS code 2903792004 belong to?,Chapter 29: Organic chemicals
Is bromofluoroethane included in the category of Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons according to HS code 2903792004?,"Yes, bromofluoroethane is included in the category of Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons according to HS code 2903792004"
What is the first level of classification for bromofluoroethane in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What product does the HS code HS:2903792005 represent in Moroccan customs tariff?,Dibromofluoroethane
Which category does the HS code HS:2903792005 belong to in Moroccan customs tariff?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
Is the HS code HS:2903792005 included in the category of organic chemicals in Moroccan customs tariff?,"Yes, it is located in Chapter 29: Organic chemicals"
What is the chapter number for the HS code HS:2903792005 in Moroccan customs tariff?,29
What is the specific HS code for tribromofluoroethane in the Moroccan Customs Tariff?,HS:2903792006
In which chapter of the Moroccan Customs Tariff is tribromofluoroethane classified?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2903792006 represent in the Moroccan Customs Tariff?,"Halogenated Derivatives of Hydrocarbons, Saturated Chlorinated Derivatives of Acyclic Hydrocarbons"
What is the first level of classification for tribromofluoroethane in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for tetrabromofluoroethane?,2903792007
Which chapter in the Moroccan customs department does the HS code 2903792007 belong to?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 2903792007 represent in customs tariff classification?,Tetrabromofluoroethane
Is tetrabromofluoroethane included in the halogenated derivatives of hydrocarbons category?,"Yes, it is."
What is the specific HS code for bromodifluoroethane in Moroccan customs department?,2903792008
Which chapter in the Moroccan customs tariff classification does the HS code 2903792008 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2903792008 in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, specifically saturated chlorinated acyclic hydrocarbons, and bromodifluoroethane"
Is bromodifluoroethane included in the HS code 2903792008 or not?,"Yes, bromodifluoroethane is included in the HS code 2903792008"
What is the specific HS code for dibromodifluoroethane?,HS:2903792009
Which chapter in the Moroccan customs tariff does the HS code HS:2903792009 belong to?,Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2903792009 in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, specifically saturated chlorinated acyclic hydrocarbons"
What is the first level of classification for dibromodifluoroethane in Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for tribromodifluoroethane in the Moroccan customs tariff?,HS:2903792011
In which chapter of the Moroccan customs tariff is the HS code HS:2903792011 listed?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2903792011 represent in the Moroccan customs tariff?,Halogenated hydrocarbons or chlorinated saturated acyclic hydrocarbon derivatives
What is the first level of classification for tribromodifluoroethane in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
What is the HS code for bromotrifluoroethane in the Moroccan customs tariff?,HS:2903792012
In which chapter of the Moroccan customs tariff is bromotrifluoroethane (HS:2903792012) classified?,Chapter 29: Organic Chemicals
Is bromotrifluoroethane (HS:2903792012) considered a halogenated hydrocarbon in the Moroccan customs tariff?,"Yes, bromotrifluoroethane is a type of halogenated hydrocarbon"
What is the category for saturated chlorinated hydrocarbons of acyclic compounds in the Moroccan customs tariff?,HS code 290379 does not specifically mention saturated chlorinated hydrocarbons of acyclic compounds
What is the specific HS code for dibromotrifluoroethane?,2903792013
Under which chapter is the HS code 2903792013 classified in the Moroccan Customs Tariff?,Chapter 29: Organic Chemicals
What type of chemical does the HS code 2903792013 represent in customs tariff classification?,"Dibromotrifluoroethane, which may or may not be included in halogenated hydrocarbons, specifically saturated chlorinated acyclic hydrocarbons"
What is the first level of classification for dibromotrifluoroethane (HS 2903792013) in customs tariff?,29 - Chapter 29: Organic Chemicals
What is the HS code for bromotetrafluoroethane in the Moroccan Customs Tariff?,HS:2903792014
In which chapter of the Moroccan Customs Tariff is bromotetrafluoroethane classified?,Chapter 29: Organic Chemicals
Is bromotetrafluoroethane considered a halogenated hydrocarbon according to its HS code?,"Yes, bromotetrafluoroethane is a halogenated hydrocarbon as per the HS code 2903792014"
Is bromotetrafluoroethane classified as a saturated chlorinated hydrocarbon under its HS code?,"No, bromotetrafluoroethane is not classified as a saturated chlorinated hydrocarbon under the HS code 2903792014"
What is the specific HS code for bromofluoropropane in Morocco's customs tariff?,HS:2903792015
In which chapter of Morocco's customs tariff is the HS code 2903792015 (bromofluoropropane) found?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code 2903792015 (bromofluoropropane) represent in Morocco's customs tariff?,"Bromofluoropropane - Halogenated hydrocarbons or specifically, saturated chlorinated acyclic hydrocarbon derivatives"
What is the first level of classification for bromofluoropropane in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for dibromofluoropropane in Moroccan customs tariff?,HS:2903792016
Which chapter in the Moroccan customs tariff does the HS code 2903792016 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903792016 represent in Moroccan customs tariff?,Halogenated hydrocarbons or saturated chlorinated hydrocarbons of acyclic hydrocarbons
Is dibromofluoropropane included in the category of halogenated hydrocarbons or saturated chlorinated hydrocarbons of acyclic hydrocarbons according to HS code 2903792016?,Yes
What is the specific HS code for tribromofluoropropane in Moroccan customs tariff?,2903792017
In which chapter of the Moroccan customs tariff is the HS code 2903792017 classified?,Chapter 29: Organic chemicals
What type of chemical does the HS code 2903792017 represent in Moroccan customs tariff?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for tribromofluoropropane in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for tetrabromofluoropropane according to Moroccan Customs?,HS:2903792018
Which chapter in the Moroccan Customs tariff classification does the HS code 2903792018 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903792018 represent in Moroccan Customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for tetrabromofluoropropane in Moroccan Customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for pentabromofluoropropane in Moroccan customs tariff?,2903792019
Which chapter does the HS code 2903792019 for pentabromofluoropropane belong to in Moroccan customs tariff?,Chapter 29: Organic chemicals
Is pentabromofluoropropane included in Halogenated derivatives of hydrocarbons or Saturated chlorinated derivatives of acyclic hydrocarbons according to HS code 2903792019?,Pentabromofluoropropane is included in Halogenated derivatives of hydrocarbons
What is the first level of classification for pentabromofluoropropane in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the HS code for hexabromofluoropropane in the Moroccan customs tariff?,HS:2903792021
In which chapter of the Moroccan customs tariff is the HS code HS:2903792021 (hexabromofluoropropane) located?,Chapter 29: Organic Chemicals
"Is hexabromofluoropropane (HS:2903792021) included in the category of Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons?","Yes, it is a type of halogenated derivative of hydrocarbon"
What is the fine level classification of hexabromofluoropropane (HS:2903792021) in the Moroccan customs tariff?,HS code 2903792021
What is the specific HS code for bromodifluoropropane in the Moroccan Customs Tariff?,HS:2903792022
In which chapter of the Moroccan Customs Tariff is bromodifluoropropane (HS:2903792022) classified?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903792022 represent in the Moroccan Customs Tariff?,Bromodifluoropropane (a halogenated hydrocarbon)
What is the first level of classification for bromodifluoropropane in the Moroccan Customs Tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for dibromodifluoropropane in Moroccan customs?,HS:2903792023
In which chapter of the Moroccan customs tariff classification is dibromodifluoropropane (HS:2903792023) found?,Chapter 29: Organic Chemicals
Is dibromodifluoropropane (HS:2903792023) included in the category of Halogenated derivatives of hydrocarbons?,"Yes, dibromodifluoropropane falls under the category of Halogenated derivatives of hydrocarbons"
Does the HS code HS:2903792023 specifically represent saturated chlorinated derivatives of acyclic hydrocarbons?,"No, dibromodifluoropropane (HS:2903792023) is not classified as saturated chlorinated derivatives of acyclic hydrocarbons"
What is the specific HS code for tribromodifluoropropane in Morocco's customs?,HS:2903792024
Which chapter in the customs tariff classification does the HS code 2903792024 belong to in Morocco's customs?,Chapter 29: Organic chemicals
"Is tribromodifluoropropane included in the category of Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons according to HS code 2903792024?","Yes, tribromodifluoropropane is included in the category of Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for tribromodifluoropropane according to HS code 2903792024 in Morocco's customs?,29 - Chapter 29: Organic chemicals
What is the specific HS code for tetrabromodifluoropropane?,2903792025
Which chapter in the Moroccan customs tariff does the HS code 2903792025 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903792025 represent in the Moroccan customs tariff?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for tetrabromodifluoropropane in the Moroccan customs tariff?,29 - Chapter 29: Organic Chemicals
Is pentabromodifluoropropane included in the category of Halogenated derivatives of hydrocarbons according to the HS code HS:2903792026?,"Yes, pentabromodifluoropropane is included in the category of Halogenated derivatives of hydrocarbons according to the HS code HS:2903792026."
Does the HS code HS:2903792026 correspond to Saturated chlorinated derivatives of acyclic hydrocarbons?,"No, the HS code HS:2903792026 does not correspond to Saturated chlorinated derivatives of acyclic hydrocarbons."
What is the chapter in the Moroccan customs tariff that the HS code HS:2903792026 belongs to?,The HS code HS:2903792026 belongs to chapter 29: Organic chemicals in the Moroccan customs tariff.
What is the category of chemicals that pentabromodifluoropropane falls under according to the HS code HS:2903792026?,Pentabromodifluoropropane falls under the category of Halogenated derivatives of hydrocarbons according to the HS code HS:2903792026.
What is the specific HS code for bromotrifluoropropane in Moroccan Customs Tariff?,HS:2903792027
Which chapter in the Moroccan Customs Tariff does the HS code 2903792027 belong to?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903792027 represent in Moroccan Customs Tariff classification?,Bromotrifluoropropane - Halogenated hydrocarbons
"Is bromotrifluoropropane (HS code 2903792027) included in halogenated hydrocarbons, specifically saturated chlorinated acyclic hydrocarbon derivatives?","No, bromotrifluoropropane (HS code 2903792027) is not included in halogenated hydrocarbons, specifically saturated chlorinated acyclic hydrocarbon derivatives."
Is dibromotrifluoropropane included in the category of halogenated hydrocarbons?,"Yes, dibromotrifluoropropane is included in the category of halogenated hydrocarbons."
Is dibromotrifluoropropane classified under chapter 29: Organic Chemicals in Morocco's customs department?,"Yes, dibromotrifluoropropane is classified under chapter 29: Organic Chemicals in Morocco's customs department."
What are the categories that dibromotrifluoropropane may be included in?,Dibromotrifluoropropane may be included in the categories of halogenated hydrocarbons and saturated chlorinated acyclic hydrocarbons.
What is the HS code for dibromotrifluoropropane?,The HS code for dibromotrifluoropropane is 2903792028.
What is the specific HS code for tribromotrifluoropropane in Morocco's customs tariff?,HS:2903792029
Which chapter does the HS code 2903792029 belong to in Morocco's customs tariff?,Chapter 29: Organic Chemicals
What type of chemicals does the HS code 2903792029 represent in Morocco's customs tariff?,"Derivatives halogenated of hydrocarbons, saturated derivatives chlorinated of acyclic hydrocarbons"
What is the first level of classification for tribromotrifluoropropane (HS:2903792029) in Morocco's customs tariff?,29 - Chapter 29: Organic Chemicals
What is the specific HS code for tetrabromotrifluoropropane according to Moroccan customs?,HS:2903792031
Which chapter in the Moroccan customs tariff classification does the HS code 2903792031 belong to?,Chapter 29: Organic chemicals
What type of chemicals is represented by the HS code 2903792031 in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for tetrabromotrifluoropropane in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for bromotetrafluoropropane in Moroccan customs tariff?,2903792032
Which chapter in the Moroccan customs tariff classification does the HS code 2903792032 belong to?,Chapter 29: Organic chemicals
What type of chemicals does the HS code 2903792032 represent in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
Is bromotetrafluoropropane (HS:2903792032) included in the category of Halogenated derivatives of hydrocarbons?,"Yes, it is included in Halogenated derivatives of hydrocarbons"
Is dibromotetrafluoropropane classified as a halogenated hydrocarbon according to HS code 'HS:2903792033'?,"Yes, dibromotetrafluoropropane is classified as a halogenated hydrocarbon according to HS code 'HS:2903792033'"
Does the HS code 'HS:2903792033' fall under the category of saturated chlorinated acyclic hydrocarbon derivatives?,"Yes, the HS code 'HS:2903792033' falls under the category of saturated chlorinated acyclic hydrocarbon derivatives"
What chapter in Moroccan customs law does the HS code 'HS:2903792033' belong to?,The HS code 'HS:2903792033' belongs to Chapter 29 of Moroccan customs law: Organic Chemicals
What is the first level of classification for dibromotetrafluoropropane in Moroccan customs law?,The first level of classification for dibromotetrafluoropropane in Moroccan customs law is '29' - Chapter 29: Organic Chemicals
Is tribromotetrafluoropropane classified under 'Derivatives of halogenated hydrocarbons' in Moroccan customs' chapter 29?,Yes
Does the HS code 'HS:2903792034' fall under 'Saturated chlorinated acyclic hydrocarbon derivatives' in Moroccan customs' chapter 29?,No
What is the first part of the HS code 'HS:2903792034' representing in Moroccan customs' chapter 29?,29 - Organic Chemicals
What is the second level of classification for tribromotetrafluoropropane in Moroccan customs' chapter 29?,2903 - Derivatives of halogenated hydrocarbons
What is the specific HS code for bromopentafluoropropane in Moroccan customs?,HS:2903792035
In which chapter of the Moroccan customs tariff classification is bromopentafluoropropane (HS:2903792035) located?,Chapter 29: Organic chemicals
What type of chemical is represented by the HS code 2903792035 in Moroccan customs tariff classification?,"Halogenated derivatives of hydrocarbons, Saturated chlorinated derivatives of acyclic hydrocarbons"
What is the first level of classification for bromopentafluoropropane (HS:2903792035) in Moroccan customs tariff?,29 - Chapter 29: Organic chemicals
What is the specific HS code for dibromopentafluoropropane in Moroccan customs?,HS:2903792036
Which chapter does the HS code HS:2903792036 for dibromopentafluoropropane fall under in Moroccan customs?,Chapter 29: Organic Chemicals
What type of organic chemicals does the HS code HS:2903792036 for dibromopentafluoropropane represent in Moroccan customs?,"Halogenated hydrocarbons, specifically saturated chlorinated acyclic hydrocarbons"
What is the first level of classification for dibromopentafluoropropane in Moroccan customs?,29 - Chapter 29: Organic Chemicals
What is the HS code for bromohexafluoropropane according to Moroccan customs?,HS:2903792039
Which chapter in the Moroccan customs tariff classification does the HS code 2903792039 belong to?,Chapter 29: Organic chemicals
