question,agent1,agent2,agent3,final_answer
What is the specific HS code for phenolsalcohols Monophénols?,(HScodeFinder) The HS code for phenolsalcohols Monophénols is HS2907290030.,"(ChapterClassifier) The HS code HS2907290030 falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Phenolsalcohols Monophénols are classified as organic chemicals in Chapter 29.,HS2907290030
Which chapter in the customs tariff classification does the HS code HS2907290030 belong to?,"(HScodeFinder) The HS code HS2907290030 is identified as belonging to Chapter 29, which is categorized under Organic Chemicals.","(ChapterClassifier) Chapter 29 is classified under the category of Organic Chemicals, which includes a wide range of compounds such as alcohols, esters, and other derivatives.","(ProductIdentifier) The specific HS code HS2907290030 refers to various organic compounds, including but not limited to alcohols and esters, which are commonly used in industrial and chemical applications.",Chapter 29: Organic chemicals
What type of chemical compounds are represented by the HS code HS2907290030 in customs tariff classification?,"(HScodeFinder) The HS code HS2907290030 is classified under Chapter 29, which includes organic chemicals, particularly those containing oxygen, such as phenols and alcohols.","(ChapterClassifier) Chapter 29 specifically covers organic chemicals, and the subheading 2907290030 is dedicated to phenols and their derivatives, including monophenols.","(ProductIdentifier) The HS code HS2907290030 refers to phenolsalcohols monophénols, which are chemical compounds containing a hydroxyl group attached to a phenyl ring.",Phenolsalcohols Monophénols
What is the first level of classification for phenolsalcohols Monophénols in customs tariff?,(HScodeFinder) The HS code for phenolsalcohols Monophénols is 2901100000.,"(ChapterClassifier) Chapter 29 includes organic chemicals, which covers phenolsalcohols Monophénols.","(ProductIdentifier) Phenolsalcohols Monophénols are classified under Chapter 29, which is the first level of classification in customs tariff.",29 - Chapter 29: Organic chemicals
What is the specific HS code for Pentachlorophenol (ISO) in Morocco's customs department?,(HScodeFinder) The HS code for Pentachlorophenol (ISO) is HS:2908110000.,"(ChapterClassifier) HS:2908110000 falls under Chapter 29, which includes chlorinated phenols and other chlorinated aromatic compounds.","(ProductIdentifier) Pentachlorophenol (ISO) is a specific chemical compound classified under Chapter 29, HS code 2908110000.",HS:2908110000
Which chapter does the HS code HS:2908110000 belong to in Morocco's customs tariff classification?,"(HScodeFinder) The HS code HS:2908110000 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in Morocco's customs tariff classification includes a wide range of organic chemical products, such as alcohols, esters, and other derivatives.","(ProductIdentifier) The specific HS code HS:2908110000 refers to organic chemicals, particularly those used in the production of solvents and other industrial applications.",Chapter 29: Organic Chemicals
What type of chemical does the HS code HS:2908110000 represent in Morocco's customs tariff classification?,"(HScodeFinder) The HS code HS:2908110000 is classified under Chapter 29, which includes chlorinated phenols and other chlorinated aromatic compounds.","(ChapterClassifier) Chapter 29 of Morocco's customs tariff classification specifically covers chlorinated phenols and other related compounds, which aligns with the HS code HS:2908110000.","(ProductIdentifier) The HS code HS:2908110000 represents Pentachlorophenol (ISO), a specific chemical compound within the chlorinated phenol category.",Pentachlorophenol (ISO)
What is the first level of classification for Pentachlorophenol (ISO) in Morocco's customs tariff?,(HScodeFinder) The HS code for Pentachlorophenol (ISO) is 2901100000.,(ChapterClassifier) The first level of classification for Pentachlorophenol (ISO) is Chapter 29.,(ProductIdentifier) Pentachlorophenol (ISO) is classified under Chapter 29 of Morocco's customs tariff.,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for Dinosibea (ISO) and its salts, which may or may not be included in the group of halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols?","(HScodeFinder) The HS code 2908910000 is specifically for Dinosibea (ISO) and its salts, which may or may not be included in the group of halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols.","(ChapterClassifier) The HS code 2908910000 falls under Chapter 29, which covers organic chemicals, including those with nitrogen, sulfur, or other heteroatoms.","(ProductIdentifier) Dinosibea (ISO) and its salts are identified as organic compounds under Chapter 29, specifically in the subheading 2908910000.",2908910000
Which chapter in the customs tariff classification does the HS code 2908910000 belong to?,"(HScodeFinder) The HS code 2908910000 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 is designated for organic chemicals, including compounds like alcohols and esters.","(ProductIdentifier) The HS code 2908910000 specifically refers to organic chemicals, such as alcohols and esters.",Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code 2908910000 in customs tariff classification?,"(HScodeFinder) The HS code 2908910000 is identified as referring to Dinosibea (ISO) and its salts, which are halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","(ChapterClassifier) The HS code 2908910000 falls under Chapter 29, which classifies organic chemicals, including those with halogen, sulfonate, nitrate, or nitrosate groups.","(ProductIdentifier) The specific product identified by HS code 2908910000 is Dinosibea (ISO) and its salts, which are derivatives of phenols or phenol alcohols with various functional groups.","Dinosibea (ISO) and its salts, which may or may not be included in the group of halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols"
What is the first level of classification for Dinosibea (ISO) and its salts in customs tariff?,"(HScodeFinder) The HS code for Dinosibea (ISO) and its salts is not directly available, but the first level of classification is Chapter 29.","(ChapterClassifier) Chapter 29 is classified under the heading of Organic Chemicals, which includes compounds like Dinosibea (ISO) and its salts.",(ProductIdentifier) Dinosibea (ISO) and its salts are identified as organic chemicals under Chapter 29 of the customs tariff.,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts, which may or may not be included in halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol alcohols?","(HScodeFinder) The HS code HS:2908920000 is directly provided in the question for 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts.","(ChapterClassifier) The HS code HS:2908920000 falls under Chapter 29, which covers organic chemicals, specifically in the subchapter for derivatives of phenols and phenol alcohols.","(ProductIdentifier) 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts are identified as specific chemical compounds under the HS code HS:2908920000.",HS:2908920000
Which chapter in the Moroccan Customs Tariff does the HS code HS:2908920000 belong to?,"(HScodeFinder) The HS code HS:2908920000 is classified under Chapter 29, which pertains to Organic Chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan Customs Tariff is designated for Organic Chemicals, as indicated by the HS code provided.",(ProductIdentifier) The HS code HS:2908920000 specifically identifies a category of Organic Chemicals within Chapter 29 of the Moroccan Customs Tariff.,Chapter 29: Organic Chemicals
What chemical substances are represented by the HS code HS:2908920000 in Moroccan Customs Tariff?,"(HScodeFinder) The HS code HS:2908920000 is classified under Chapter 29, which includes organic chemicals containing nitrogen, sulfur, or other elements.","(ChapterClassifier) Chapter 29 specifically covers organic chemicals, including those with nitrogen, sulfur, or other elements, which aligns with the HS code HS:2908920000.","(ProductIdentifier) The HS code HS:2908920000 refers to 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts, which are derivatives of phenols or phenol alcohols.","4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts, which may or may not be included in halogenated, sulfonated, nitrated or nitrosated derivatives of phenols or phenol alcohols"
"What is the first level of classification for 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts in Moroccan Customs Tariff?","(HScodeFinder) The HS code for 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts is 2901100000.","(ChapterClassifier) The first level of classification for this HS code is Chapter 29, which includes organic chemicals.","(ProductIdentifier) 4,6-Dinitro-ortho-cresol (DNOC, ISO) and its salts are classified under Chapter 29 of the Moroccan Customs Tariff.",29 - Chapter 29: Organic Chemicals
What is the specific HS code for trinitrophenol (picric acid) in the Moroccan Customs Tariff?,(HScodeFinder) The HS code for trinitrophenol (picric acid) is HS:290899011.,"(ChapterClassifier) The HS code HS:290899011 falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Trinitrophenol (picric acid) is classified as an organic chemical under Chapter 29.,HS:290899011
In which chapter of the Moroccan Customs Tariff is the HS code for trinitrophenol (picric acid) located?,(HScodeFinder) The HS code for trinitrophenol (picric acid) is HS:2901100000.,(ChapterClassifier) The HS code HS:2901100000 falls under Chapter 29 of the Moroccan Customs Tariff.,(ProductIdentifier) Trinitrophenol (picric acid) is classified as an Organic Chemical under Chapter 29.,Chapter 29: Organic Chemicals
What type of chemical does the HS code 290899011 represent in the Moroccan Customs Tariff classification?,"(HScodeFinder) The HS code 290899011 is classified under Chapter 29, which includes aromatic nitro compounds, specifically trinitrophenol (picric acid).","(ChapterClassifier) Chapter 29 of the Moroccan Customs Tariff covers aromatic nitro compounds, which includes the chemical trinitrophenol (picric acid).",(ProductIdentifier) Trinitrophenol (picric acid) is a specific chemical compound identified under HS code 290899011 in the Moroccan Customs Tariff.,Trinitrophenol (picric acid)
What is the first level of classification for trinitrophenol (picric acid) in the Moroccan Customs Tariff?,"(HScodeFinder) Trinitrophenol (picric acid) is classified under HS code 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is designated for Organic Chemicals, which includes compounds like trinitrophenol.","(ProductIdentifier) Trinitrophenol (picric acid) is identified as a nitrophenol derivative, specifically a tri-nitro compound, under the broader category of organic chemicals.",29 - Chapter 29: Organic Chemicals
What specific HS code is given to picric acid salts in the Moroccan customs tariff?,"(HScodeFinder) The HS code for picric acid salts is HS:2908990012, which is classified under Chapter 29, which includes inorganic acids and their salts.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff covers inorganic acids and their salts, which aligns with the classification of picric acid salts.","(ProductIdentifier) Picric acid salts are identified as inorganic acids and their salts, falling under Chapter 29 and the specific HS code HS:2908990012.",HS:2908990012
Which chapter does the HS code HS:2908990012 for picric acid salts belong to in the Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2908990012 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is dedicated to organic chemicals, including compounds like picric acid salts.","(ProductIdentifier) Picric acid salts are a specific type of organic chemical, falling under the broader category of Chapter 29.",Chapter 29: Organic Chemicals
What type of chemicals may or may not be included in the HS code HS:2908990012 for picric acid salts?,"(HScodeFinder) The HS code HS:2908990012 is classified under Chapter 29, which includes organic chemicals containing nitrogen, oxygen, or halogens.","(ChapterClassifier) Chapter 29 covers organic chemicals, and specifically, the subheading 2908990012 refers to compounds containing nitrogen, oxygen, or halogens, such as picric acid salts.","(ProductIdentifier) Picric acid salts are organic compounds that may include halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols, which align with the classification under HS code 2908990012.","Halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols"
Is it possible for picric acid salts (HS code: HS:2908990012) to be classified under halogenated phenols in the Moroccan customs tariff?,"(HScodeFinder) The HS code HS:2908990012 is associated with picric acid salts, which are a type of nitrophenol derivative.","(ChapterClassifier) Chapter 29 includes compounds containing nitrogen, which aligns with the chemical structure of picric acid salts.","(ProductIdentifier) Picric acid salts are identified as a specific class of compounds within Chapter 29, but their exact classification depends on their molecular structure and intended use.","Yes, picric acid salts may be included in halogenated phenols or phenol alcohols, but it is not guaranteed as they can also fall outside this category"
What is the specific HS code for lead trinitroresorcinate in Moroccan Customs Tariff?,(HScodeFinder) The HS code for lead trinitroresorcinate is HS:2908990013.,"(ChapterClassifier) The HS code HS:2908990013 falls under Chapter 29, which covers Organic chemicals.",(ProductIdentifier) Lead trinitroresorcinate is identified as a specific compound in the HS code HS:2908990013.,HS:2908990013
"Is lead trinitroresorcinate classified as a halogenated, sulfonated, nitrated, or nitrosated phenol or phenol alcohol derivative in Moroccan Customs Tariff?","(HScodeFinder) The HS code for lead trinitroresorcinate is not directly available in standard databases, requiring further investigation.","(ChapterClassifier) Lead trinitroresorcinate is likely classified under Chapter 28, which includes organic chemicals containing nitrogen, but this is not definitive without more specific data.","(ProductIdentifier) Lead trinitroresorcinate is a complex compound, and its classification as a halogenated, sulfonated, nitrated, or nitrosated phenol derivative is uncertain based on available information.",It may or may not be classified as such
In which chapter of the Moroccan Customs Tariff is lead trinitroresorcinate located?,"(HScodeFinder) Lead trinitroresorcinate is a chemical compound, so we need to find its HS code first. The HS code for lead trinitroresorcinate is HS:2901100000.","(ChapterClassifier) The HS code HS:2901100000 falls under Chapter 29, which is dedicated to Organic Chemicals.",(ProductIdentifier) Lead trinitroresorcinate is a specific compound classified under Chapter 29 of the Moroccan Customs Tariff.,Chapter 29: Organic Chemicals
What is the first level of classification for lead trinitroresorcinate in Moroccan Customs Tariff?,"(HScodeFinder) Lead trinitroresorcinate is classified under HS code 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes compounds like lead trinitroresorcinate.",(ProductIdentifier) The product identifier for lead trinitroresorcinate is a chemical compound used in explosives and pyrotechnics.,29 - Chapter 29: Organic Chemicals
What is the specific HS code for trinitroxylens and their salts?,(HScodeFinder) The HS code for trinitroxylens and their salts is 2908990014.,"(ChapterClassifier) The HS code 2908990014 falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Trinitroxylens and their salts are classified as organic chemicals under Chapter 29.,2908990014
In which chapter of the Moroccan Customs Tariff is the HS code 2908990014 located?,"(HScodeFinder) The HS code 2908990014 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan Customs Tariff is dedicated to organic chemicals, including a wide range of organic compounds and derivatives.","(ProductIdentifier) The HS code 2908990014 specifically refers to organic chemicals, such as various types of saturated and unsaturated hydrocarbons and their derivatives.",Chapter 29: Organic Chemicals
Which type of chemicals are represented by the HS code 2908990014 in Moroccan Customs Tariff?,"(HScodeFinder) The HS code 2908990014 is classified under the chapter for organic chemicals, specifically those containing nitrogen, which includes compounds like trinitroxylens and their salts.","(ChapterClassifier) The chapter for HS code 2908990014 is Chapter 29, which covers organic chemicals containing nitrogen, including those with nitrogen-containing heterocyclic rings.","(ProductIdentifier) The HS code 2908990014 specifically refers to trinitroxylens and their salts, which are nitrogen-containing organic compounds used in various industrial applications.",Trinitroxylens and their salts
What is the first level of classification for trinitroxylens and their salts in Moroccan Customs Tariff?,(HScodeFinder) The HS code for trinitroxylens and their salts is 2901100000.,(ChapterClassifier) Chapter 29 is classified under the category of Organic Chemicals.,(ProductIdentifier) Trinitroxylens and their salts are identified as organic compounds in Chapter 29.,29 - Chapter 29: Organic Chemicals
"What is the specific HS code for dinitrocresols, trinitromethancresol, which may or may not be included in halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols?","(HScodeFinder) The HS code HS:2908990015 is directly provided in the answer for dinitrocresols, trinitromethancresol, which may or may not be included in halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","(ChapterClassifier) The HS code HS:2908990015 falls under Chapter 29, which covers organic chemicals, including derivatives of phenols and other aromatic hydrocarbons.","(ProductIdentifier) Dinitrocresols, trinitromethancresol are identified as specific chemical compounds under the HS code HS:2908990015, which is classified under Chapter 29.",HS:2908990015
Which chapter in the Moroccan Customs Tariff does the HS code HS:2908990015 belong to?,"(HScodeFinder) The HS code HS:2908990015 is classified under Chapter 29, which deals with organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan Customs Tariff is dedicated to organic chemicals, including a wide range of compounds and derivatives.","(ProductIdentifier) The specific HS code HS:2908990015 falls under Chapter 29, which covers organic chemicals in the Moroccan Customs Tariff.",Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2908990015 in Moroccan Customs Tariff?,"(HScodeFinder) The HS code HS:2908990015 is classified under Chapter 29, which includes organic chemicals containing nitrogen, such as dinitrocresols and trinitromethancresol.","(ChapterClassifier) Chapter 29 of the Moroccan Customs Tariff covers organic chemicals with nitrogen, including compounds like dinitrocresols and trinitromethancresol, which are nitrated phenols or phenol alcohols.","(ProductIdentifier) The specific chemicals identified by HS:2908990015 are dinitrocresols, trinitromethancresol, which may or may not be included in halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","Dinitrocresols, trinitromethancresol, which may or may not be included in halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols"
"What is the first level of classification for dinitrocresols, trinitromethancresol, which may or may not be included in halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols in Moroccan Customs Tariff?","(HScodeFinder) The HS code for dinitrocresols and trinitromethancresol is 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes the mentioned compounds.",(ProductIdentifier) Dinitrocresols and trinitromethancresol are identified as organic compounds under Chapter 29 of the Moroccan Customs Tariff.,29 - Chapter 29: Organic Chemicals
What does the HS code HS:2908990016 specifically refer to in terms of chemical compounds?,"(HScodeFinder) The HS code HS:2908990016 is classified under Chapter 29, which includes organic chemicals containing nitrogen, such as amines, amides, and nitro compounds.","(ChapterClassifier) Chapter 29 covers organic chemicals with nitrogen, including compounds like amines, amides, and nitro compounds, which aligns with the HS code HS:2908990016.","(ProductIdentifier) The HS code HS:2908990016 specifically refers to Mononitrophenols and their derivatives, which are organic compounds containing a nitro group and a phenol group.",Mononitrophenols and their derivatives
Which chapter in the Moroccan customs tariff does the HS code HS:2908990016 belong to?,"(HScodeFinder) The HS code HS:2908990016 is classified under Chapter 29, which pertains to organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan customs tariff is dedicated to organic chemicals, including a wide range of organic compounds and their derivatives.","(ProductIdentifier) The specific HS code HS:2908990016 falls under Chapter 29, which covers organic chemicals, and is used for products such as synthetic organic compounds and related materials.",Chapter 29: Organic Chemicals
What types of substances might be included in the HS code HS:2908990016 category?,"(HScodeFinder) The HS code HS:2908990016 is classified under Chapter 29, which includes organic chemicals containing halogens, sulfonic acids, nitrated or nitrosated compounds, and phenols or phenol alcohols.","(ChapterClassifier) Chapter 29 of the HS system covers organic chemicals, particularly those containing halogens, sulfonic acids, nitrated or nitrosated compounds, and phenols or phenol alcohols.","(ProductIdentifier) The substances included in HS code HS:2908990016 are halogenated, sulfonated, nitrated, or nitrosed phenols or phenol alcohols.","Halogenated, sulfonated, nitrated, or nitrosed phenols or phenol alcohols"
What is the first level of classification for mononitrophenols and their derivatives in the Moroccan customs tariff?,(HScodeFinder) The HS code for mononitrophenols and their derivatives is 2901100000.,(ChapterClassifier) Chapter 29 is classified under the category of Organic Chemicals.,(ProductIdentifier) Mononitrophenols and their derivatives are identified as organic compounds in Chapter 29.,29 - Chapter 29: Organic Chemicals
What type of chemicals are represented by the HS code HS:2908990019 in customs tariff classification?,"(HScodeFinder) The HS code HS:2908990019 is classified under the chapter of other solely sulfonated derivatives, their salts and esters, which may or may not be part of halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols.","(ChapterClassifier) The chapter classifier for HS:2908990019 is Chapter 29, which includes sulfonated derivatives, their salts and esters, and related compounds.","(ProductIdentifier) The product identified by HS:2908990019 is a chemical compound that is a sulfonated derivative, possibly involving halogenated or nitrated phenols or phenol alcohols.","Other solely sulfonated derivatives, their salts and esters, which may or may not be part of halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols"
Which chapter in the customs tariff classification does the HS code HS:2908990019 belong to?,"(HScodeFinder) The HS code HS:2908990019 is classified under Chapter 29, which is dedicated to Organic Chemicals.",(ChapterClassifier) Chapter 29 in the customs tariff classification is specifically for Organic Chemicals.,"(ProductIdentifier) The HS code HS:2908990019 belongs to Chapter 29, which is categorized under Organic Chemicals.",Chapter 29: Organic Chemicals
"What is the first level of classification for other solely sulfonated derivatives, their salts and esters in customs tariff?","(HScodeFinder) The HS code for other solely sulfonated derivatives, their salts and esters is 2901100000.","(ChapterClassifier) Chapter 29 includes organic chemicals, which encompasses sulfonated derivatives and their salts and esters.","(ProductIdentifier) The product identified under Chapter 29 is other solely sulfonated derivatives, their salts and esters.",29 - Chapter 29: Organic Chemicals
"Does the HS code HS:2908990019 fall under halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols?","(HScodeFinder) The HS code HS:2908990019 is identified as a sulfonated derivative, which is a type of chemical compound.","(ChapterClassifier) The HS code falls under Chapter 29, which includes sulfonated derivatives and related compounds.","(ProductIdentifier) The specific product is a sulfonated derivative, which may or may not be part of halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","No, it includes other solely sulfonated derivatives, their salts and esters, which may or may not be part of halogenated, sulfonated, nitrated or nitrosated phenols or phenol alcohols."
What is the specific HS code for the tariff classification of the product?,"(HScodeFinder) The HS code 2908990 is classified under the chapter of organic chemicals, specifically for compounds containing sulfur.","(ChapterClassifier) The chapter classification for HS code 2908990 is Chapter 29, which includes organic chemicals containing sulfur.","(ProductIdentifier) The product identified under HS code 2908990 is sulfur-containing organic compounds, such as thiols or sulfides.",2908990
Which chapter in the customs tariff classification does the HS code 2908990 belong to?,"(HScodeFinder) The HS code 2908990 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 is designated for organic chemicals, excluding specific acyclic hydrocarbons.","(ProductIdentifier) The HS code 2908990 pertains to organic chemical compounds, specifically excluding certain acyclic hydrocarbons.","Chapter 29: Organic chemicals, except for certain types of acyclic hydrocarbons"
What type of products are represented by the HS code 2908990 in customs tariff classification?,"(HScodeFinder) The HS code 2908990 is classified under Chapter 29, which includes organic chemicals.","(ChapterClassifier) Chapter 29 specifically covers organic chemicals, so the products here are other organic chemicals not elsewhere specified or included.","(ProductIdentifier) The products represented by HS code 2908990 are other organic chemicals, which are not specified or included in other chapters.",Other organic chemicals (not elsewhere specified or included)
What is the first level of classification for the product with HS code 2908990 in customs tariff?,"(HScodeFinder) The HS code 2908990 is classified under Chapter 29, which covers organic chemicals.","(ChapterClassifier) Chapter 29 is the first level of classification for the HS code 2908990, as it is part of the organic chemicals category.","(ProductIdentifier) The product identified by HS code 2908990 falls under Chapter 29, which includes various organic chemical substances.","29 - Chapter 29: Organic chemicals, except for certain types of acyclic hydrocarbons"
Does the HS code HS:2908990029 include derivatives of halogenated phenols or phenol alcohols?,"(HScodeFinder) The HS code HS:2908990029 is identified as a specific entry in the Harmonized System classification, which is used for customs and tariff purposes.","(ChapterClassifier) The HS code HS:2908990029 falls under Chapter 29, which covers organic chemicals, including derivatives of halogenated phenols and phenol alcohols.","(ProductIdentifier) The HS code HS:2908990029 specifically refers to derivatives of halogenated phenols or phenol alcohols, which are organic compounds containing halogen atoms attached to phenol rings.","Yes, the HS code HS:2908990029 includes derivatives of halogenated phenols or phenol alcohols."
"Does the HS code HS:2908990029 pertain to sulfonated, nitrated, or nitrosated phenols or phenol alcohols?","(HScodeFinder) The HS code HS:2908990029 is identified as a specific code for sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","(ChapterClassifier) The chapter classification for HS code HS:2908990029 is determined to be Chapter 29, which covers organic chemicals, including derivatives of phenols and their derivatives.","(ProductIdentifier) The product identified by HS code HS:2908990029 is sulfonated, nitrated, or nitrosated phenols or phenol alcohols, which are classified under Chapter 29.","Yes, the HS code HS:2908990029 includes derivatives of sulfonated, nitrated, or nitrosated phenols or phenol alcohols."
What type of products does the HS code HS:2908990029 cover in Chapter 29: Organic Chemicals?,(HScodeFinder) The HS code HS:2908990029 is identified as a specific entry under Chapter 29: Organic Chemicals.,"(ChapterClassifier) Chapter 29: Organic Chemicals is classified under the broader category of organic chemicals, which includes various derivatives and compounds.","(ProductIdentifier) The HS code HS:2908990029 covers other products in Chapter 29: Organic Chemicals, such as specific organic chemical compounds not covered by more specific headings.",The HS code HS:2908990029 covers other products in Chapter 29: Organic Chemicals.
"Is the HS code HS:2908990029 specific to halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols?","(HScodeFinder) The HS code HS:2908990029 is identified as a specific code for derivatives of halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","(ChapterClassifier) The HS code HS:2908990029 falls under Chapter 29, which includes organic chemicals, particularly those containing halogen, sulfur, or nitrogen.","(ProductIdentifier) The HS code HS:2908990029 specifically refers to halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","Yes, the HS code HS:2908990029 is specific to certain derivatives of halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols."
What is the specific HS code for mixed derivatives of phenols or phenol alcohols?,(HScodeFinder) The HS code for mixed derivatives of phenols or phenol alcohols is HS:2908990089.,"(ChapterClassifier) The HS code HS:2908990.89 falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) The product identified by HS:2908990089 is mixed derivatives of phenols or phenol alcohols.,HS:2908990089
Which chapter in the Moroccan Customs Tariff does the HS code HS:2908990089 belong to?,"(HScodeFinder) The HS code HS:2908990089 is classified under Chapter 29, which deals with organic chemicals.","(ChapterClassifier) Chapter 29 in the Moroccan Customs Tariff is dedicated to organic chemicals, including various derivatives and compounds.","(ProductIdentifier) The specific HS code HS:2908990089 falls under Chapter 29, which covers organic chemicals in the Moroccan Customs Tariff.",Chapter 29: Organic Chemicals
What type of organic chemicals are represented by the HS code HS:2908990089 in Moroccan Customs Tariff?,"(HScodeFinder) The HS code HS:2908990089 is classified under Chapter 29, which includes organic chemicals containing halogens, sulfurs, nitrogens, or other elements.","(ChapterClassifier) Chapter 29 of the Moroccan Customs Tariff includes organic chemicals with halogens, sulfurs, nitrogens, or other elements, such as mixed derivatives.","(ProductIdentifier) The HS code HS:2908990089 specifically refers to mixed derivatives, which may or may not be part of halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols.","Mixed derivatives, which may or may not be part of halogenated, sulfonated, nitrated, or nitrosated phenols or phenol alcohols"
What is the first level of classification for mixed derivatives of phenols or phenol alcohols in Moroccan Customs Tariff?,(HScodeFinder) The HS code for mixed derivatives of phenols or phenol alcohols is 2901100000.,"(ChapterClassifier) Chapter 29 is classified under the category of Organic Chemicals, which includes compounds derived from phenols and phenol alcohols.","(ProductIdentifier) Mixed derivatives of phenols or phenol alcohols are identified as belonging to Chapter 29 of the Moroccan Customs Tariff, which is categorized under Organic Chemicals.",29 - Chapter 29: Organic Chemicals
What is the specific HS code for Diethyl Ether (Ether)?,(HScodeFinder) The HS code for Diethyl Ether (Ether) is HS:2909110000.,"(ChapterClassifier) Diethyl Ether (Ether) falls under Chapter 29, which covers organic chemicals.",(ProductIdentifier) Diethyl Ether (Ether) is identified as a compound with the chemical formula C4H10O.,HS:2909110000
In which chapter of the Moroccan Customs does the HS code 2909110000 belong?,"(HScodeFinder) The HS code 2909110000 is classified under Chapter 29, which is dedicated to organic chemicals.","(ChapterClassifier) Chapter 29 of the Moroccan Customs classification is specifically for organic chemicals, including a wide range of organic compounds and derivatives.","(ProductIdentifier) The HS code 2909110000 refers to specific organic chemical compounds, such as certain types of hydrocarbons and their derivatives.",Chapter 29: Organic Chemicals
What type of chemical compound does the HS code 2909110000 represent in customs tariff classification?,"(HScodeFinder) The HS code 2909110000 is classified under Chapter 29, which includes organic chemicals, including those derived from petroleum.","(ChapterClassifier) Chapter 29 specifically covers organic chemicals, and subheading 2909110000 is for ethers, such as diethyl ether.","(ProductIdentifier) The chemical compound represented by HS code 2909110000 is ethers, including diethyl ether, which are organic compounds with an oxygen atom connected to two alkyl groups.",Ethers (Diethyl Ether)
What is the first level of classification for Diethyl Ether (Ether) in customs tariff?,"(HScodeFinder) Diethyl Ether (Ether) is classified under HS code 2901100000, which falls under Chapter 29.","(ChapterClassifier) Chapter 29 is classified as Organic Chemicals, which includes compounds like Diethyl Ether.","(ProductIdentifier) Diethyl Ether is a common name for the chemical compound ethyl ethyl ether, with the IUPAC name diethyl ether.",29 - Chapter 29: Organic Chemicals
